Episode,Winner,RunnerAcc,PursuerAcc,DrawsPercentage,RunnerJitter,PursuerJitter,NearMissTime,EpisodeSteps
348,Pursuer,0.103,0.201,0.695,0.028,0.089,0.00,7.00
349,Draw,0.103,0.201,0.696,0.151,0.167,12.16,999.00
350,Pursuer,0.103,0.203,0.694,0.140,0.172,0.00,193.00
351,Draw,0.103,0.202,0.695,0.141,0.145,0.00,999.00
352,Draw,0.102,0.202,0.696,0.144,0.150,0.00,999.00
353,Draw,0.102,0.201,0.697,0.148,0.154,11.96,999.00
354,Draw,0.102,0.201,0.698,0.151,0.144,6.76,999.00
355,Draw,0.101,0.200,0.699,0.152,0.150,1.70,999.00
356,Pursuer,0.101,0.202,0.697,0.171,0.229,0.00,4.00
357,Draw,0.101,0.202,0.697,0.154,0.135,0.00,999.00
358,Pursuer,0.101,0.204,0.696,0.000,0.000,0.00,0.00
359,Draw,0.100,0.203,0.696,0.136,0.135,0.00,999.00
360,Draw,0.100,0.203,0.697,0.153,0.150,3.28,999.00
361,Draw,0.100,0.202,0.698,0.145,0.137,9.56,999.00
362,Draw,0.099,0.202,0.699,0.139,0.138,0.00,999.00
363,Draw,0.099,0.201,0.700,0.146,0.155,7.14,999.00
364,Pursuer,0.099,0.203,0.698,0.000,0.000,0.00,0.00
365,Runner,0.101,0.203,0.696,0.170,0.155,0.00,682.00
366,Draw,0.101,0.202,0.697,0.153,0.143,9.28,999.00
367,Pursuer,0.101,0.204,0.695,0.156,0.184,0.00,301.00
368,Draw,0.101,0.204,0.696,0.137,0.154,1.76,999.00
369,Pursuer,0.100,0.206,0.694,0.175,0.171,0.00,413.00
370,Pursuer,0.100,0.208,0.692,0.178,0.170,0.00,4.00
371,Pursuer,0.100,0.210,0.690,0.122,0.135,0.00,109.00
372,Draw,0.099,0.210,0.691,0.162,0.152,9.80,999.00
373,Draw,0.099,0.209,0.692,0.152,0.153,0.00,999.00
374,Draw,0.099,0.209,0.693,0.147,0.154,0.00,999.00
375,Draw,0.099,0.208,0.693,0.150,0.150,0.00,999.00
376,Pursuer,0.098,0.210,0.691,0.144,0.148,0.00,365.00
377,Runner,0.101,0.210,0.690,0.147,0.149,0.00,561.00
378,Pursuer,0.101,0.212,0.688,0.000,0.000,0.00,1.00
379,Draw,0.100,0.211,0.689,0.150,0.147,0.00,999.00
380,Draw,0.100,0.211,0.689,0.146,0.142,0.00,999.00
381,Draw,0.100,0.210,0.690,0.142,0.143,0.00,999.00
382,Draw,0.099,0.209,0.691,0.139,0.155,1.56,999.00
383,Runner,0.102,0.209,0.689,0.145,0.150,9.32,949.00
384,Draw,0.102,0.208,0.690,0.142,0.154,7.22,999.00
385,Pursuer,0.101,0.210,0.688,0.145,0.142,0.00,344.00
386,Draw,0.101,0.210,0.689,0.147,0.158,0.00,999.00
387,Draw,0.101,0.209,0.690,0.176,0.137,7.06,999.00
388,Pursuer,0.101,0.211,0.688,0.129,0.167,0.00,94.00
389,Pursuer,0.100,0.213,0.686,0.152,0.155,0.00,321.00
390,Runner,0.103,0.213,0.685,0.160,0.134,0.00,130.00
391,Runner,0.105,0.212,0.683,0.118,0.084,0.00,10.00
392,Draw,0.105,0.212,0.684,0.145,0.151,17.50,999.00
393,Runner,0.107,0.211,0.682,0.162,0.140,0.00,332.00
394,Pursuer,0.107,0.213,0.680,0.163,0.153,0.00,160.00
395,Draw,0.106,0.213,0.681,0.142,0.150,14.74,999.00
